time,open,high,low,close,Volume
2024-12-30T09:30:00-05:00,5903.67,5906.5,5890.56,5893.54,93544236
2024-12-30T09:35:00-05:00,5893.5,5896.77,5890.43,5890.62,32469020
2024-12-30T09:40:00-05:00,5890.54,5893.41,5880.94,5885.24,27773308
2024-12-30T09:45:00-05:00,5885.36,5885.36,5878.85,5882.68,28424999
2024-12-30T09:50:00-05:00,5882.71,5889.46,5881.19,5884.52,28045051
2024-12-30T09:55:00-05:00,5884.31,5886.95,5876.04,5876.09,24422023
2024-12-30T10:00:00-05:00,5876.36,5884.72,5870.35,5877.41,33795743
2024-12-30T10:05:00-05:00,5877.67,5882.18,5875.97,5878.62,20339820
2024-12-30T10:10:00-05:00,5878.74,5885.57,5875.23,5884.81,24431560
2024-12-30T10:15:00-05:00,5884.09,5884.09,5874.94,5876.24,21998210
2024-12-30T10:20:00-05:00,5875.93,5878.01,5869.43,5870.11,20942590
2024-12-30T10:25:00-05:00,5869.74,5875.95,5869.16,5872.46,17501690
2024-12-30T10:30:00-05:00,5872.07,5878.75,5872.02,5878.42,19707260
2024-12-30T10:35:00-05:00,5878.22,5889.36,5873.08,5888.96,19869900
2024-12-30T10:40:00-05:00,5888.85,5892.03,5886.04,5890.67,21049780
2024-12-30T10:45:00-05:00,5890.7,5896.73,5877.99,5880.07,20088090
2024-12-30T10:50:00-05:00,5880.11,5884.38,5879.45,5883.92,17623320
2024-12-30T10:55:00-05:00,5883.71,5894.53,5883.71,5894.53,17397790
2024-12-30T11:00:00-05:00,5894.72,5894.72,5889.24,5893,15980760
2024-12-30T11:05:00-05:00,5893.08,5900.14,5893.08,5900.14,16037670
2024-12-30T11:10:00-05:00,5900.09,5900.8,5896.54,5898.26,15544460
2024-12-30T11:15:00-05:00,5898.24,5907.23,5897.22,5906.63,16913810
2024-12-30T11:20:00-05:00,5906.58,5908.71,5900.47,5900.72,15269010
2024-12-30T11:25:00-05:00,5900.7,5904.29,5899.95,5904.09,14891470
2024-12-30T11:30:00-05:00,5904.13,5909.53,5903.88,5908.7,13496970
2024-12-30T11:35:00-05:00,5908.71,5912.17,5907.79,5912.09,13688130
2024-12-30T11:40:00-05:00,5911.94,5919.6,5911.68,5919.08,21825990
2024-12-30T11:45:00-05:00,5919.13,5919.26,5907.42,5907.62,16589770
2024-12-30T11:50:00-05:00,5907.53,5913.01,5907.29,5912.86,13752890
2024-12-30T11:55:00-05:00,5912.95,5918.78,5912.45,5917.31,14034610
2024-12-30T12:00:00-05:00,5917.25,5923.55,5916.63,5921.05,16121600
2024-12-30T12:05:00-05:00,5921.03,5921.75,5916.23,5919.16,14291360
2024-12-30T12:10:00-05:00,5919.09,5924.51,5919.09,5920.72,13787990
2024-12-30T12:15:00-05:00,5920.57,5923,5920.05,5923,11405520
2024-12-30T12:20:00-05:00,5923.16,5928.63,5922.73,5927.41,17679220
2024-12-30T12:25:00-05:00,5927.63,5929.11,5924.53,5928.31,13501940
2024-12-30T12:30:00-05:00,5928.26,5930.67,5927.08,5930.54,12307820
2024-12-30T12:35:00-05:00,5930.55,5931.03,5927.03,5929.35,11464450
2024-12-30T12:40:00-05:00,5929.54,5931.3,5925.85,5931.07,13192800
2024-12-30T12:45:00-05:00,5931,5937.76,5930.13,5937.34,13871510
2024-12-30T12:50:00-05:00,5937.33,5938.1,5929.94,5930.03,13195800
2024-12-30T12:55:00-05:00,5930,5936.6,5921.02,5935.14,16867190
2024-12-30T13:00:00-05:00,5935.08,5935.08,5927.83,5928.71,12342440
2024-12-30T13:05:00-05:00,5928.83,5932.8,5925.51,5932.26,12124980
2024-12-30T13:10:00-05:00,5932.24,5939.57,5932.15,5938.32,15020950
2024-12-30T13:15:00-05:00,5938.31,5940.79,5933.16,5934.34,13025570
2024-12-30T13:20:00-05:00,5934.35,5936.06,5928.76,5928.95,13521980
2024-12-30T13:25:00-05:00,5928.91,5931.39,5924.58,5929.76,13519070
2024-12-30T13:30:00-05:00,5929.77,5935.5,5927.74,5935.12,13407550
2024-12-30T13:35:00-05:00,5935.04,5937.04,5928.9,5932.39,12813320
2024-12-30T13:40:00-05:00,5932.48,5937.2,5931.21,5935.61,11090160
2024-12-30T13:45:00-05:00,5935.59,5938.55,5935.03,5936.22,10823280
2024-12-30T13:50:00-05:00,5936.08,5937.19,5932.77,5936.45,12723760
2024-12-30T13:55:00-05:00,5936.41,5937.71,5934.08,5934.97,15148080
